"","word","n"
"803","son",63
"804","street",63
"805","supporters",63
"806","togetherever",63
"807","charge",62
"808","charlatans",62
"809","conmen",62
"810","express",62
"811","hypocrites",62
"812","oc",62
"813","preying",62
"814","sobbing",62
"815","teen",62
"816","twice.i",62
"817","uncomfortable",62
"818","active",61
"819","answered",61
"820","everyone’s",61
"821","fbrpartyi'm",61
"822","form",61
"823","mess",61
"824","naomiwadler",61
"825","paraphrase",61
"826","photo",61
"827","rushed",61
"828","sincere",61
"829","soviet",61
"830","survivor",61
"831","teacher",61
"832","waking",61
"833","whatif",61
"834","won’t",61
"835","000",60
"836","1949",60
"837","amend",60
"838","baltic",60
"839","bed",60
"840","bought",60
"841","crazy",60
"842","elementary",60
"843","law",60
"844","operating",60
"845","otd",60
"846","physician",60
"847","red",60
"848","representing",60
"849","supports",60
"850","weekend",60
"851","wonderful",60
"852","d.c",59
"853","hug",59
"854","move",59
"855","register",59
"856","rifles",59
"857","suffocating",59
"858","trump’s",59
"859","word'now",59
"860","1.05",58
"861","ana",58
"862","cards",58
"863","deeply",58
"864","hard",58
"865","isaiah",58
"866","poster",58
"867","pushing",58
"868","realized",58
"869","risen",58
"870","science",58
"871","slaves",58
"872","stay",58
"873","today’s",58
"874","utah",58
"875","address",57
"876","capitol",57
"877","data",57
"878","inside",57
"879","legislation",57
"880","palmsunday",57
"881","republican",57
"882","stonemandouglas",57
"883","vetsforgunreform",57
"884","vows",57
"885","1791",56
"886","child’s",56
"887","conversation",56
"888","fix",56
"889","folks",56
"890","france",56
"891","freight",56
"892","jon",56
"893","lose",56
"894","marchforourlive",56
"895","marchforourlivesnyc",56
"896","missed",56
"897","ownerwho",56
"898","scott",56
"899","trade",56
"900","tremor",56
"901","alive",55
"902","blm",55
"903","collect",55
"904","fake",55
"905","fo",55
"906","focus",55
"907","lunch",55
"908","medical",55
"909","national",55
"910","orlando",55
"911","planet",55
"912","unbelievable",55
"913","action.today",54
"914","change.today",54
"915","days",54
"916","doctors",54
"917","dollars",54
"918","eat",54
"919","future.today",54
"920","gonna",54
"921","hundreds",54
"922","justice.today",54
"923","marine",54
"924","advice",53
"925","afternoon",53
"926","background",53
"927","becaus",53
"928","dead",53
"929","describe",53
"930","gunsense",53
"931","image",53
"932","movements",53
"933","notoriety",53
"934","party",53
"935","raleigh",53
"936","require",53
"937","town",53
"938","traitor",53
"939","week",53
"940","wet",53
"941","win",53
"942","worldwid",53
"943","actor",52
"944","african",52
"945","church",52
"946","citizens",52
"947","con",52
"948","controlled",52
"949","experienced",52
"950","i’ll",52
"951","instant",52
"952","joined",52
"953","nationalschoolwalkoutday",52
"954","opinion",52
"955","owned",52
"956","owner",52
"957","poli",52
"958","served",52
"959","stan",52
"960","taylor",52
"961","adjourned",51
"962","awesome",51
"963","creek",51
"964","deal",51
"965","forward",51
"966","ftr",51
"967","government",51
"968","gunreform.congress",51
"969","honoring",51
"970","ignorant",51
"971","imessage",51
"972","joining",51
"973","marchforourliveswhy",51
"974","murdered",51
"975","step",51
"976","tweets",51
"977","weeks.t",51
"978","0.17",50
"979","ca15",50
"980","couldn’t",50
"981","create",50
"982","free",50
"983","gu",50
"984","happening",50
"985","leadership",50
"986","learning",50
"987","lived",50
"988","oak",50
"989","reduce",50
"990","scum",50
"991","silenced",50
"992","trip",50
"993","choose",49
"994","cooper",49
"995","december",49
"996","en",49
"997","golden",49
"998","las",49
"999","lennon",49
"1000","marchforo",49
"1001","marchin",49
"1002","ppl",49
"1003","shitheel",49
"1004","sikh",49
"1005","stil",49
"1006","sunday",49
"1007","temple",49
"1008","treacherous",49
"1009","basketball",48
"1010","cold",48
"1011","expos",48
"1012","fl",48
"1013","linda",48
"1014","marchforourlivesthe",48
"1015","moved",48
"1016","neve",48
"1017","nevera",48
"1018","people's",48
"1019","revolution",48
"1020","role",48
"1021","theresistancewe",48
"1022","veteransforgunreform",48
"1023","won",48
"1024","worst",48
"1025","creating",47
"1026","edna",47
"1027","freshman",47
"1028","gestapo",47
"1029","lobbies",47
"1030","minute",47
"1031","moment.it",47
"1032","out.this",47
"1033","park",47
"1034","posted",47
"1035","receives",47
"1036","seat",47
"1037","senator",47
"1038","shirtbut",47
"1039","shouldn’t",47
"1040","stands",47
"1041","twitter",47
"1042","ur",47
"1043","bill",46
"1044","bluefor",46
"1045","chavez",46
"1046","clear:if",46
"1047","debates",46
"1048","gro",46
"1049","grow",46
"1050","incl",46
"1051","investment",46
"1052","line",46
"1053","meaning",46
"1054","military",46
"1055","nomore",46
"1056","poll",46
"1057","professor",46
"1058","raise",46
"1059","refuse",46
"1060","schulman",46
"1061","100",45
"1062","armed",45
"1063","boston",45
"1064","buddy",45
"1065","candidate",45
"1066","children’s",45
"1067","classic",45
"1068","climatechang",45
"1069","comprehensive",45
"1070","exams",45
"1071","grade",45
"1072","hateful",45
"1073","johnson",45
"1074","sesame",45
"1075","size",45
"1076","15s",44
"1077","again.we",44
"1078","america's",44
"1079","answer",44
"1080","be.think",44
"1081","bea",44
"1082","boycottnra",44
"1083","expectus",44
"1084","focused",44
"1085","generations",44
"1086","golf",44
"1087","happened",44
"1088","honored",44
"1089","maputo",44
"1090","mentally",44
"1091","mozambique",44
"1092","overco",44
"1093","picture",44
"1094","pittsburgh",44
"1095","plan",44
"1096","privilege",44
"1097","represanatives",44
"1098","road",44
"1099","thread",44
"1100","activist",43
"1101","alabama",43
"1102","brilliant",43
"1103","created",43
"1104","late",43
"1105","leader",43
"1106","pics",43
"1107","san",43
"1108","trouble",43
"1109","vetsvsthenra",43
"1110","wait",43
"1111","what’s",43
"1112","bravery",42
"1113","camps",42
"1114","genuine",42
"1115","golfing",42
"1116","huge",42
"1117","infinitely",42
"1118","infused",42
"1119","mind",42
"1120","noun",42
"1121","rating",42
"1122","selling",42
"1123","shit",42
"1124","type",42
"1125","bucket",41
"1126","carolina",41
"1127","chil",41
"1128","demonstrations",41
"1129","drills",41
"1130","feed",41
"1131","fellow",41
"1132","generati",41
"1133","iwillmarch",41
"1134","mccartney",41
"1135","negative",41
"1136","pa",41
"1137","prize",41
"1138","registering",41
"1139","relevant",41
"1140","tough",41
"1141","voteforourlives",41
"1142","actual",40
"1143","attention",40
"1144","banned",40
"1145","busy",40
"1146","card",40
"1147","city",40
"1148","due",40
"1149","fraud",40
"1150","name.santorum",40
"1151","nightmare",40
"1152","violenc",40
"1153","wear",40
"1154","you’ve",40
"1155","agrees",39
"1156","april",39
"1157","arms",39
"1158","breathand",39
"1159","favor",39
"1160","forgotten",39
"1161","guess",39
"1162","horrors",39
"1163","house",39
"1164","moral",39
"1165","nobel",39
"1166","owning",39
"1167","policy",39
"1168","question",39
"1169","rage",39
"1170","sc",39
"1171","se",39
"1172","senseless",39
"1173","stunned",39
"1174","tokyo",39
"1175","victim",39
"1176","wa",39
"1177","39",38
"1178","abe",38
"1179","century",38
"1180","damn",38
"1181","democratic",38
"1182","discredit",38
"1183","economy",38
"1184","ferguson",38
"1185","geeksmarch",38
"1186","heartbreaking",38
"1187","hopeful",38
"1188","japan",38
"1189","miss",38
"1190","past",38
"1191","promised",38
"1192","rifle",38
"1193","spend",38
"1194","thinking",38
"1195","aren’t",37
"1196","bombzquad",37
"1197","ceased",37
"1198","elected",37
"1199","everyday",37
"1200","founder",37
"1201","fucking",37
"1202","inspiration",37
"1203","lorrain",37
"1204","makes",37
"1205","mobilized",37
"1206","mom",37
"1207","montalto",37
"1208","nobelpeaceprize",37
"1209","prove",37
"1210","regulated",37
"1211","speakers",37
"1212","statement",37
"1213","training",37
"1214","update",37
"1215","50",36
"1216","ads",36
"1217","apt",36
"1218","duty",36
"1219","fearing",36
"1220","germany",36
"1221","hell",36
"1222","horrified",36
"1223","insensitive",36
"1224","insurance",36
"1225","involved",36
"1226","le",36
"1227","leave",36
"1228","lol",36
"1229","lowest",36
"1230","marchfo",36
"1231","photographed",36
"1232","repeat",36
"1233","response",36
"1234","tears",36
"1235","add",35
"1236","ann's",35
"1237","app",35
"1238","armas",35
"1239","books",35
"1240","combat",35
"1241","contra",35
"1242","daily",35
"1243","donald",35
"1244","faced",35
"1245","fearless",35
"1246","feeling",35
"1247","forever",35
"1248","marcha",35
"1249","marchforour",35
"1250","moving",35
"1251","mytwitteranniversary",35
"1252","neveragai",35
"1253","neveragainmsd",35
"1254","pulled",35
"1255","sounds",35
"1256","student's",35
"1257","ter",35
"1258","tool",35
"1259","walmart",35
"1260","we’ll",35
"1261","24th",34
"1262","30k",34
"1263","blessed",34
"1264","bonus",34
"1265","campaign",34
"1266","carry",34
"1267","christine",34
"1268","chum",34
"1269","despicable",34
"1270","experience",34
"1271","headline",34
"1272","hogg",34
"1273","including",34
"1274","interview",34
"1275","krab",34
"1276","krusty",34
"1277","mission",34
"1278","morningmeditation",34
"1279","pennsylvania",34
"1280","raised",34
"1281","received",34
"1282","sage",34
"1283","scream",34
"1284","shouting",34
"1285","spongebob",34
"1286","tod",34
"1287","tweetception",34
"1288","unstable",34
"1289","victoria",34
"1290","victories",34
"1291","virtualmarchforourlives",34
"1292","visit",34
"1293","we’ve",34
"1294","aerial",33
"1295","bring",33
"1296","bringing",33
"1297","brought",33
"1298","charleston",33
"1299","che",33
"1300","communities",33
"1301","countries",33
"1302","county",33
"1303","discuss",33
"1304","effort",33
"1305","father",33
"1306","favorites",33
"1307","gunrefo",33
"1308","here’s",33
"1309","imagine",33
"1310","jew",33
"1311","joaquin",33
"1312","lt",33
"1313","majority",33
"1314","martin",33
"1315","oregon",33
"1316","reading",33
"1317","reinhart",33
"1318","ricksantorum",33
"1319","rising",33
"1320","smart",33
"1321","stood",33
"1322","toll",33
"1323","17years",32
"1324","2015",32
"1325","3.2",32
"1326","47",32
"1327","attack",32
"1328","bs",32
"1329","chance",32
"1330","clip",32
"1331","cowering",32
"1332","dedication",32
"1333","ebt",32
"1334","emotionally",32
"1335","encouraging",32
"1336","gene",32
"1337","generational",32
"1338","helped",32
"1339","horrid",32
"1340","idiot",32
"1341","imperative",32
"1342","legislative",32
"1343","lungs",32
"1344","marchforou",32
"1345","neveragainht",32
"1346","neverforget",32
"1347","pennridge",32
"1348","poise",32
"1349","sit",32
"1350","spirit",32
"1351","store",32
"1352","stuff",32
"1353","takeaknee",32
"1354","theory",32
"1355","weeks",32
"1356","wtf",32
"1357","blu",31
"1358","canada",31
"1359","criminalization",31
"1360","dr",31
"1361","falls",31
"1362","fbr",31
"1363","gonzález",31
"1364","intellectually",31
"1365","june",31
"1366","kevin",31
"1367","manufacturer",31
"1368","millennial's",31
"1369","nelson",31
"1370","note",31
"1371","nothing.how",31
"1372","oliver",31
"1373","optimistic",31
"1374","population",31
"1375","primitive",31
"1376","return",31
"1377","shame",31
"1378","si",31
"1379","southern",31
"1380","swallow",31
"1381","team",31
"1382","trump's",31
"1383","whole.lead",31
"1384","zer's",31
"1385","13",30
"1386","25",30
"1387","800",30
"1388","banatte",30
"1389","boyfriend",30
"1390","burn",30
"1391","campaignforourlives",30
"1392","completely",30
"1393","crossing",30
"1394","deaf",30
"1395","em",30
"1396","firearm",30
"1397","glad",30
"1398","ground",30
"1399","lagoweeks",30
"1400","memorial",30
"1401","nicolas",30
"1402","organised",30
"1403","rinse",30
"1404","senseles",30
"1405","shifted",30
"1406","studentsstandup",30
"1407","term",30
"1408","today's",30
"1409","tone",30
"1410","tx",30
"1411","youth.and",30
"1412","arrington",29
"1413","charlestonchurchshooting",29
"1414","ciccone",29
"1415","concerned",29
"1416","ctrl",29
"1417","defeat",29
"1418","detroit",29
"1419","drills.they've",29
"1420","elect",29
"1421","emotional",29
"1422","funded",29
"1423","giving",29
"1424","grew",29
"1425","harder",29
"1426","holding",29
"1427","liberal",29
"1428","lies",29
"1429","list",29
"1430","lots",29
"1431","mandela",29
"1432","midterms",29
"1433","militia",29
"1434","ocean",29
"1435","passionate",29
"1436","pay",29
"1437","po",29
"1438","police",29
"1439","putkids1st",29
"1440","sharing",29
"1441","sister",29
"1442","stories",29
"1443","tonight",29
"1444","virginia",29
"1445","wasn’t",29
"1446","applaud",28
"1447","bigger",28
"1448","bri",28
"1449","club",28
"1450","dare",28
"1451","defense",28
"1452","democrat",28
"1453","dream",28
"1454","drop",28
"1455","empty",28
"1456","fuck",28
"1457","georgia",28
"1458","goodnight",28
"1459","governments",28
"1460","ha",28
"1461","hat",28
"1462","hs",28
"1463","john",28
"1464","licensing",28
"1465","mail",28
"1466","marchforourlivesjapan",28
"1467","marsamericaafter",28
"1468","nut",28
"1469","participated",28
"1470","pocket",28
"1471","sound",28
"1472","stage",28
"1473","teenag",28
"1474","top",28
"1475","view",28
"1476","air",27
"1477","aka",27
"1478","army",27
"1479","arrived",27
"1480","bluewave",27
"1481","board",27
"1482","comments",27
"1483","concentration",27
"1484","disarmed",27
"1485","enou",27
"1486","excited",27
"1487","faith",27
"1488","heckle",27
"1489","heroes",27
"1490","instagram",27
"1491","jefferson",27
"1492","jobs",27
"1493","living",27
"1494","manufacturers",27
"1495","marchforourlivesdenver",27
"1496","massive",27
"1497","meeting",27
"1498","nicholas",27
"1499","nra's",27
"1500","pig",27
"1501","potus",27
"1502","prepared",27
"1503","rep",27
"1504","saytheirnames",27
"1505","starting",27
"1506","thomas",27
"1507","va",27
"1508","7",26
"1509","adult",26
"1510","agenda",26
"1511","astounding",26
"1512","australia",26
"1513","ball",26
"1514","bcuz",26
"1515","bit",26
"1516","bloodflows",26
"1517","body",26
"1518","classroom",26
"1519","color",26
"1520","dating",26
"1521","diverse",26
"1522","enoug",26
"1523","especiall",26
"1524","firearms",26
"1525","found",26
"1526","freedom",26
"1527","grateful",26
"1528","higheryou",26
"1529","incidents",26
"1530","luther",26
"1531","mansionwhile",26
"1532","marchforourlivesoc",26
"1533","medford",26
"1534","newtown",26
"1535","organizers",26
"1536","partially",26
"1537","pic",26
"1538","pl",26
"1539","rate",26
"1540","regime",26
"1541","respect",26
"1542","security",26
"1543","solve",26
"1544","stick",26
"1545","survived",26
"1546","testing",26
"1547","timesup",26
"1548","watchwhile",26
"1549","19",25
"1550","alexandria",25
"1551","angeles",25
"1552","attacks",25
